bulletin,latitude,longitude,direction_deg,speed_kt,speed_m_s,temperature_c,d2T_dx2_K_m-2,d2T_dy2_K_m-2,laplacian_K_m-2,coriolis_s-1,eta_temperature_K_m-1_s-1
FBSA23,-5.0,-70.0,20,19,9.5,-29,6.611570247933884e-12,3.305785123966942e-12,9.917355371900826e-12,-1.2550426955662777e-05,nan
FBSA23,-5.0,-65.0,10,6,3.0,-28,-6.611570247933884e-12,-6.611570247933884e-12,-1.3223140495867768e-11,-1.2550426955662777e-05,nan
FBSA23,-10.0,-85.0,300,25,12.5,-31,nan,6.611570247933884e-12,nan,-2.500533758403797e-05,nan
FBSA23,-10.0,-80.0,290,10,5.0,-29,-6.611570247933884e-12,-3.305785123966942e-12,-9.917355371900826e-12,-2.500533758403797e-05,3.886773466584547e-06
FBSA23,-10.0,-75.0,310,12,6.0,-29,0.0,0.0,0.0,-2.500533758403797e-05,-0.0
FBSA23,-10.0,-70.0,20,17,8.5,-29,0.0,-3.305785123966942e-12,-3.305785123966942e-12,-2.500533758403797e-05,1.2955911555281821e-06
FBSA23,-10.0,-65.0,280,4,2.0,-29,0.0,0.0,0.0,-2.500533758403797e-05,-0.0
FBSA23,-15.0,-85.0,300,44,22.0,-31,nan,-6.611570247933884e-12,nan,-3.7269942494762985e-05,nan
FBSA23,-15.0,-80.0,310,37,18.5,-31,3.305785123966942e-12,0.0,3.305785123966942e-12,-3.7269942494762985e-05,-8.692445452371781e-07
FBSA23,-15.0,-75.0,310,31,15.5,-30,-3.305785123966942e-12,-3.305785123966942e-12,-6.611570247933884e-12,-3.7269942494762985e-05,1.7384890904743562e-06
FBSA23,-15.0,-70.0,290,25,12.5,-30,0.0,-3.305785123966942e-12,-3.305785123966942e-12,-3.7269942494762985e-05,8.692445452371781e-07
FBSA23,-15.0,-65.0,290,23,11.5,-30,0.0,0.0,0.0,-3.7269942494762985e-05,-0.0
