bulletin,total_points,valid_points,mean,std,minimum,maximum
FBNA27,18,9,4.4930087107134644e-08,1.4347822855830143e-06,-2.745648534885384e-06,2.100012879233064e-06
FBNA23,21,12,2.1925697821096853e-07,1.6087942663205885e-06,-1.4000085861553759e-06,4.200025758466127e-06
FBCA27,24,17,-7.263478288359967e-08,1.8807737332672755e-06,-2.6311554748942385e-06,4.258728285563725e-06
FBCA21,24,20,-2.643438807331144e-07,1.3165804815909567e-06,-2.1293641427818627e-06,2.6311554748942385e-06
FBCA25,21,6,-1.7274548740375765e-06,3.8141170887180914e-06,-6.477955777640911e-06,3.886773466584547e-06
FBCA23,18,1,-1.2955911555281821e-06,nan,-1.2955911555281821e-06,-1.2955911555281821e-06
FBSA23,25,12,6.863692875028504e-07,1.5131227079188267e-06,-1.3155777374471192e-06,3.886773466584547e-06
FBSA21,30,15,5.220047614441426e-07,1.7824362939529143e-06,-2.6311554748942385e-06,3.2889443436177987e-06
